Column,Art_ID,Title,Artist,Wiki_Link,Style,Genre,Media,tmp,New_Wiki_Link,img_src
7,Kaggle_49823,Small Bird on a Branch of Kaidozakura,Hiroshige,"['https://www.wikiart.org/en/hiroshige/small-bird-on-a-branch-of-kaidozakura-1838', 'https://www.wikiart.org/en/hiroshige/small-bird-on-a-branch-of-kaidozakura-1848']",,,,check,['https://www.wikiart.org/en/hiroshige/small-bird-on-a-branch-of-kaidozakura-1838'],['https://uploads5.wikiart.org/images/hiroshige/small-bird-on-a-branch-of-kaidozakura-1838.jpg!Large.jpg']
18,Kaggle_82352,The Garden of Earthly Delights,Hieronymus Bosch,"['https://www.wikiart.org/en/hieronymus-bosch/the-garden-of-earthly-delights-4', 'https://www.wikiart.org/en/hieronymus-bosch/the-garden-of-earthly-delights-1515-7']",,,,check,"['https://www.wikiart.org/en/hieronymus-bosch/the-garden-of-earthly-delights-4', 'https://www.wikiart.org/en/hieronymus-bosch/the-garden-of-earthly-delights-1515-7']","['https://uploads2.wikiart.org/images/hieronymus-bosch/the-garden-of-earthly-delights-4.jpg!Large.jpg', 'https://uploads7.wikiart.org/images/hieronymus-bosch/the-garden-of-earthly-delights-1515-7.jpg!Large.jpg']"
20,Kaggle_85864,Untitled,Mark Rothko,"['https://www.wikiart.org/en/mark-rothko/untitled-1929', 'https://www.wikiart.org/en/mark-rothko/untitled-14', 'https://www.wikiart.org/en/mark-rothko/untitled-15', 'https://www.wikiart.org/en/mark-rothko/untitled-19', 'https://www.wikiart.org/en/mark-rothko/untitled-13', 'https://www.wikiart.org/en/mark-rothko/untitled-16', 'https://www.wikiart.org/en/mark-rothko/untitled-17', 'https://www.wikiart.org/en/mark-rothko/untitled-18', 'https://www.wikiart.org/en/mark-rothko/not_detected_242118', 'https://www.wikiart.org/en/mark-rothko/untitled-3', 'https://www.wikiart.org/en/mark-rothko/not_detected_242121', 'https://www.wikiart.org/en/mark-rothko/untitled-2', 'https://www.wikiart.org/en/mark-rothko/not_detected_242119', 'https://www.wikiart.org/en/mark-rothko/not_detected_242122', 'https://www.wikiart.org/en/mark-rothko/untitled-1', 'https://www.wikiart.org/en/mark-rothko/not_detected_242115', 'https://www.wikiart.org/en/mark-rothko/not_detected_242116', 'https://www.wikiart.org/en/mark-rothko/untitled-1948', 'https://www.wikiart.org/en/mark-rothko/untitled-1948-1', 'https://www.wikiart.org/en/mark-rothko/untitled-1948-2', 'https://www.wikiart.org/en/mark-rothko/untitled', 'https://www.wikiart.org/en/mark-rothko/untitled-1949-2', 'https://www.wikiart.org/en/mark-rothko/untitled-1949', 'https://www.wikiart.org/en/mark-rothko/untitled-1949-1', 'https://www.wikiart.org/en/mark-rothko/untitled-6', 'https://www.wikiart.org/en/mark-rothko/untitled-10', 'https://www.wikiart.org/en/mark-rothko/untitled-4', 'https://www.wikiart.org/en/mark-rothko/untitled-1955', 'https://www.wikiart.org/en/mark-rothko/untitled-1959', 'https://www.wikiart.org/en/mark-rothko/untitled-5', 'https://www.wikiart.org/en/mark-rothko/not_detected_242131', 'https://www.wikiart.org/en/mark-rothko/untitled-1967', 'https://www.wikiart.org/en/mark-rothko/untitled-7', 'https://www.wikiart.org/en/mark-rothko/untitled-9', 'https://www.wikiart.org/en/mark-rothko/untitled-1968', 'https://www.wikiart.org/en/mark-rothko/untitled-1968-1', 'https://www.wikiart.org/en/mark-rothko/untitled-1968-2', 'https://www.wikiart.org/en/mark-rothko/untitled-8', 'https://www.wikiart.org/en/mark-rothko/untitled-1969', 'https://www.wikiart.org/en/mark-rothko/untitled-1969-1', 'https://www.wikiart.org/en/mark-rothko/untitled-1969-2', 'https://www.wikiart.org/en/mark-rothko/untitled-11', 'https://www.wikiart.org/en/mark-rothko/untitled-1970', 'https://www.wikiart.org/en/mark-rothko/not_detected_242120', 'https://www.wikiart.org/en/mark-rothko/untitled-12']",,,,check,"['https://www.wikiart.org/en/mark-rothko/untitled-10', 'https://www.wikiart.org/en/mark-rothko/untitled-4', 'https://www.wikiart.org/en/mark-rothko/not_detected_242131', 'https://www.wikiart.org/en/mark-rothko/untitled-1968-2', 'https://www.wikiart.org/en/mark-rothko/untitled-1969', 'https://www.wikiart.org/en/mark-rothko/untitled-1969-1', 'https://www.wikiart.org/en/mark-rothko/untitled-1969-2']","['https://uploads3.wikiart.org/images/mark-rothko/untitled-10.jpg!Large.jpg', 'https://uploads5.wikiart.org/images/mark-rothko/untitled-4(1).jpg!Large.jpg', 'https://uploads2.wikiart.org/images/mark-rothko/not_detected_242131.jpg!Large.jpg', 'https://uploads7.wikiart.org/images/mark-rothko/untitled-1968-2.jpg!Large.jpg', 'https://uploads5.wikiart.org/images/mark-rothko/untitled-1969.jpg!Large.jpg', 'https://uploads0.wikiart.org/images/mark-rothko/untitled-1969-1(1).jpg', 'https://uploads7.wikiart.org/images/mark-rothko/untitled-1969-2.jpg!Large.jpg']"
37,Kaggle_15715,Self-portrait,Titian,"['https://www.wikiart.org/en/titian/self-portrait-1562', 'https://www.wikiart.org/en/titian/self-portrait']",,,,check,"['https://www.wikiart.org/en/titian/self-portrait-1562', 'https://www.wikiart.org/en/titian/self-portrait']","['https://uploads5.wikiart.org/images/titian/self-portrait-1562.jpg!Large.jpg', 'https://uploads0.wikiart.org/images/titian/self-portrait.jpg!Large.jpg']"
38,Kaggle_59486,Self Portrait,Gerrit Dou,"['https://www.wikiart.org/en/gerrit-dou/self-portrait-1635', 'https://www.wikiart.org/en/gerrit-dou/self-portrait']",,,,check,['https://www.wikiart.org/en/gerrit-dou/self-portrait'],['https://uploads4.wikiart.org/images/gerrit-dou/self-portrait.jpg!Large.jpg']
39,Kaggle_77921,Charity,Lucas Cranach the Elder,"['https://www.wikiart.org/en/lucas-cranach-the-elder/charity-1534', 'https://www.wikiart.org/en/lucas-cranach-the-elder/charity']",,,,check,['https://www.wikiart.org/en/lucas-cranach-the-elder/charity'],['https://uploads2.wikiart.org/images/lucas-cranach-the-elder/charity.jpg!Large.jpg']
49,Kaggle_99733,Dipicting the characters from the Chushingura,Utagawa Kuniyoshi,"['https://www.wikiart.org/en/utagawa-kuniyoshi/dipicting-the-characters-from-the-chushingura', 'https://www.wikiart.org/en/utagawa-kuniyoshi/dipicting-the-characters-from-the-chushingura-1', 'https://www.wikiart.org/en/utagawa-kuniyoshi/dipicting-the-characters-from-the-chushingura-2', 'https://www.wikiart.org/en/utagawa-kuniyoshi/dipicting-the-characters-from-the-chushingura-3', 'https://www.wikiart.org/en/utagawa-kuniyoshi/dipicting-the-characters-from-the-chushingura-4']",,,,check,[],[]
54,Kaggle_29331,Roger and Angelica,Odilon Redon,"['https://www.wikiart.org/en/odilon-redon/roger-and-angelica', 'https://www.wikiart.org/en/odilon-redon/roger-and-angelica-1910', 'https://www.wikiart.org/en/odilon-redon/roger-and-angelica-1']",,,,check,"['https://www.wikiart.org/en/odilon-redon/roger-and-angelica-1910', 'https://www.wikiart.org/en/odilon-redon/roger-and-angelica-1']","['https://uploads7.wikiart.org/images/odilon-redon/roger-and-angelica-1910.jpg!Large.jpg', 'https://uploads4.wikiart.org/images/odilon-redon/roger-and-angelica-1.jpg!Large.jpg']"
55,Kaggle_53464,Divination,Konstantin Vasilyev,"['https://www.wikiart.org/en/konstantin-vasilyev/divination', 'https://www.wikiart.org/en/konstantin-vasilyev/divination-1']",,,,check,[],[]
77,Kaggle_45704,Self portrait,William Hogarth,"['https://www.wikiart.org/en/william-hogarth/self-portrait-1745', 'https://www.wikiart.org/en/william-hogarth/self-portrait-1']",,,,check,"['https://www.wikiart.org/en/william-hogarth/self-portrait-1745', 'https://www.wikiart.org/en/william-hogarth/self-portrait-1']","['https://uploads5.wikiart.org/images/william-hogarth/self-portrait-1745.jpg!Large.jpg', 'https://uploads2.wikiart.org/images/william-hogarth/self-portrait-1.jpg!Large.jpg']"
97,Kaggle_96174,The Reaper,Ferdinand Hodler,"['https://www.wikiart.org/en/ferdinand-hodler/the-reaper', 'https://www.wikiart.org/en/ferdinand-hodler/the-reaper-1910']",,,,check,"['https://www.wikiart.org/en/ferdinand-hodler/the-reaper', 'https://www.wikiart.org/en/ferdinand-hodler/the-reaper-1910']","['https://uploads7.wikiart.org/images/ferdinand-hodler/the-reaper.jpg!Large.jpg', 'https://uploads3.wikiart.org/images/ferdinand-hodler/the-reaper-1910.jpg!Large.jpg']"
107,Kaggle_13595,Self-portrait,Koloman Moser,"['https://www.wikiart.org/en/koloman-moser/self-portrait-1', 'https://www.wikiart.org/en/koloman-moser/self-portrait']",,,,check,"['https://www.wikiart.org/en/koloman-moser/self-portrait-1', 'https://www.wikiart.org/en/koloman-moser/self-portrait']","['https://uploads0.wikiart.org/images/koloman-moser/self-portrait-1.jpg!Large.jpg', 'https://uploads7.wikiart.org/images/koloman-moser/self-portrait.jpg!Large.jpg']"
121,Kaggle_16042,Birth of the Danube,Konstantin Vasilyev,"['https://www.wikiart.org/en/konstantin-vasilyev/birth-of-the-danube', 'https://www.wikiart.org/en/konstantin-vasilyev/birth-of-the-danube-1', 'https://www.wikiart.org/en/konstantin-vasilyev/birth-of-the-danube-2']",,,,check,[],[]
127,Kaggle_91879,Self-Portrait,Joshua Reynolds,"['https://www.wikiart.org/en/joshua-reynolds/self-portrait-2', 'https://www.wikiart.org/en/joshua-reynolds/self-portrait-3', 'https://www.wikiart.org/en/joshua-reynolds/self-portrait-4', 'https://www.wikiart.org/en/joshua-reynolds/self-portrait-1', 'https://www.wikiart.org/en/joshua-reynolds/self-portrait-1775', 'https://www.wikiart.org/en/joshua-reynolds/self-portrait', 'https://www.wikiart.org/en/joshua-reynolds/self-portrait-1788']",,,,check,"['https://www.wikiart.org/en/joshua-reynolds/self-portrait-2', 'https://www.wikiart.org/en/joshua-reynolds/self-portrait-3', 'https://www.wikiart.org/en/joshua-reynolds/self-portrait-4', 'https://www.wikiart.org/en/joshua-reynolds/self-portrait-1', 'https://www.wikiart.org/en/joshua-reynolds/self-portrait-1775', 'https://www.wikiart.org/en/joshua-reynolds/self-portrait', 'https://www.wikiart.org/en/joshua-reynolds/self-portrait-1788']","['https://uploads2.wikiart.org/images/joshua-reynolds/self-portrait-2.jpg!Large.jpg', 'https://uploads2.wikiart.org/images/joshua-reynolds/self-portrait-3.jpg!Large.jpg', 'https://uploads2.wikiart.org/images/joshua-reynolds/self-portrait-4.jpg!Large.jpg', 'https://uploads2.wikiart.org/images/joshua-reynolds/self-portrait-1.jpg!Large.jpg', 'https://uploads5.wikiart.org/images/joshua-reynolds/self-portrait-1775.jpg!Large.jpg', 'https://uploads0.wikiart.org/images/joshua-reynolds/self-portrait.jpg!Large.jpg', 'https://uploads5.wikiart.org/images/joshua-reynolds/self-portrait-1788.jpg!Large.jpg']"
131,Kaggle_3306,Night March of a Hundred Demons (detail),Tosa Mitsuoki,"['https://www.wikiart.org/en/tosa-mitsuoki/night-march-of-a-hundred-demons-detail', 'https://www.wikiart.org/en/tosa-mitsuoki/night-march-of-a-hundred-demons-detail-1']",,,,check,[],[]
