Column,Art_ID,Title,Artist,Wiki_Link,Style,Genre,Media,tmp,New_Wiki_Link,img_src
49930,Kaggle_21878,Bivouac in the desert convoy Chumakov,Aleksey Savrasov,"['https://www.wikiart.org/en/aleksey-savrasov/bivouac-in-the-desert-convoy-chumakov-1867', 'https://www.wikiart.org/en/aleksey-savrasov/bivouac-in-the-desert-convoy-chumakov-1867-1']",,,,check,[],[]
49942,Kaggle_36837,Mount Hood,Thomas Hill,"['https://www.wikiart.org/en/thomas-hill/mount-hood', 'https://www.wikiart.org/en/thomas-hill/mount-hood-1']",,,,check,[],[]
49959,Kaggle_73303,Rinaldo and Armida,Francois Boucher,"['https://www.wikiart.org/en/francois-boucher/rinaldo-and-armida-1734', 'https://www.wikiart.org/en/francois-boucher/rinaldo-armida']",,,,check,['https://www.wikiart.org/en/francois-boucher/rinaldo-and-armida-1734'],['https://uploads1.wikiart.org/images/francois-boucher/rinaldo-and-armida-1734.jpg']
49967,Kaggle_11486,The Bay of Naples in the morning,Ivan Aivazovsky,"['https://www.wikiart.org/en/ivan-aivazovsky/the-bay-of-naples-in-the-morning-1843', 'https://www.wikiart.org/en/ivan-aivazovsky/the-bay-of-naples-in-the-morning-1877', 'https://www.wikiart.org/en/ivan-aivazovsky/the-bay-of-naples-in-the-morning-1893']",,,,check,['https://www.wikiart.org/en/ivan-aivazovsky/the-bay-of-naples-in-the-morning-1843'],['https://uploads6.wikiart.org/images/ivan-aivazovsky/the-bay-of-naples-in-the-morning-1843.jpg!Large.jpg']
49973,Kaggle_4111,Fruits and vegetables,Martiros Saryan,"['https://www.wikiart.org/en/martiros-sarian/fruits-and-vegetables-1933', 'https://www.wikiart.org/en/martiros-sarian/fruits-and-vegetables-1934', 'https://www.wikiart.org/en/martiros-sarian/fruits-and-vegetables-1942']",,,,check,['https://www.wikiart.org/en/martiros-sarian/fruits-and-vegetables-1942'],['https://uploads4.wikiart.org/images/martiros-saryan/fruits-and-vegetables-1942.jpg!Large.jpg']
49988,Kaggle_20318,A Birch Grove,Arkhip Kuindzhi,"['https://www.wikiart.org/en/arkhip-kuindzhi/a-birch-grove-1879', 'https://www.wikiart.org/en/arkhip-kuindzhi/a-birch-grove-1879-1', 'https://www.wikiart.org/en/arkhip-kuindzhi/a-birch-grove-1879-2', 'https://www.wikiart.org/en/arkhip-kuindzhi/a-birch-grove', 'https://www.wikiart.org/en/arkhip-kuindzhi/a-birch-grove-1', 'https://www.wikiart.org/en/arkhip-kuindzhi/a-birch-grove-2', 'https://www.wikiart.org/en/arkhip-kuindzhi/a-birch-grove-3', 'https://www.wikiart.org/en/arkhip-kuindzhi/a-birch-grove-1901', 'https://www.wikiart.org/en/arkhip-kuindzhi/a-birch-grove-4']",,,,check,"['https://www.wikiart.org/en/arkhip-kuindzhi/a-birch-grove-1879', 'https://www.wikiart.org/en/arkhip-kuindzhi/a-birch-grove-1879-1', 'https://www.wikiart.org/en/arkhip-kuindzhi/a-birch-grove-1901']","['https://uploads5.wikiart.org/images/arkhip-kuindzhi/a-birch-grove-1879.jpg!Large.jpg', 'https://uploads7.wikiart.org/images/arkhip-kuindzhi/a-birch-grove-1879-1.jpg!Large.jpg', 'https://uploads5.wikiart.org/images/arkhip-kuindzhi/a-birch-grove-1901.jpg!Large.jpg']"
49999,Kaggle_72285,Miranda,John William Waterhouse,"['https://www.wikiart.org/en/john-william-waterhouse/miranda-1875', 'https://www.wikiart.org/en/john-william-waterhouse/miranda-1916']",,,,check,['https://www.wikiart.org/en/john-william-waterhouse/miranda-1916'],['https://uploads6.wikiart.org/00267/images/john-william-waterhouse/401129-2x.jpg!Large.jpg']
50006,Kaggle_21519,Summer Landscape,Aleksey Savrasov,"['https://www.wikiart.org/en/aleksey-savrasov/summer-landscape-1850', 'https://www.wikiart.org/en/aleksey-savrasov/summer-landscape-1860']",,,,check,['https://www.wikiart.org/en/aleksey-savrasov/summer-landscape-1860'],['https://uploads0.wikiart.org/images/aleksey-savrasov/summer-landscape-1860.jpg!Large.jpg']
50052,Kaggle_47596,A half of a Virgin,Raphael Kirchner,"['https://www.wikiart.org/en/raphael-kirchner/a-half-of-a-virgin-1901', 'https://www.wikiart.org/en/raphael-kirchner/a-half-of-a-virgin-1901-1', 'https://www.wikiart.org/en/raphael-kirchner/a-half-of-a-virgin-1901-2', 'https://www.wikiart.org/en/raphael-kirchner/a-half-of-a-virgin-1901-3', 'https://www.wikiart.org/en/raphael-kirchner/a-half-of-a-virgin-1901-4', 'https://www.wikiart.org/en/raphael-kirchner/a-half-of-a-virgin-1901-5']",,,,check,[],[]
50078,Kaggle_78498,Mother and Child,Egon Schiele,"['https://www.wikiart.org/en/egon-schiele/mother-and-child-1914', 'https://www.wikiart.org/en/egon-schiele/mother-and-child-1914-1']",,,,check,['https://www.wikiart.org/en/egon-schiele/mother-and-child-1914'],['https://uploads5.wikiart.org/images/egon-schiele/mother-and-child-1914.jpg!Large.jpg']
50126,Kaggle_71569,The Swing,Francisco Goya,"['https://www.wikiart.org/en/francisco-goya/the-swing-1779', 'https://www.wikiart.org/en/francisco-goya/the-swing-1787', 'https://www.wikiart.org/en/francisco-goya/the-swing']",,,,check,['https://www.wikiart.org/en/francisco-goya/the-swing-1779'],['https://uploads0.wikiart.org/images/francisco-goya/the-swing-1779.jpg!Large.jpg']
50141,Kaggle_96192,Transformation,Alexander Ivanov,"['https://www.wikiart.org/en/alexander-ivanov/transformation-1824', 'https://www.wikiart.org/en/alexander-ivanov/transformation']",,,,check,[],[]
50142,Kaggle_41627,Woman After Bath,Goyo Hashiguchi,"['https://www.wikiart.org/en/goyo-hashiguchi/woman-after-bath-1915', 'https://www.wikiart.org/en/goyo-hashiguchi/woman-after-bath-1920']",,,,check,[],[]
50214,Kaggle_72827,Marseilles,Henri Martin,"['https://www.wikiart.org/en/henri-martin/marseilles', 'https://www.wikiart.org/en/henri-martin/marseilles-1']",,,,check,"['https://www.wikiart.org/en/henri-martin/marseilles', 'https://www.wikiart.org/en/henri-martin/marseilles-1']","['https://uploads3.wikiart.org/images/henri-martin/marseilles.jpg!Large.jpg', 'https://uploads5.wikiart.org/images/henri-martin/marseilles-1.jpg!Large.jpg']"
50222,Kaggle_65726,Untitled,Karl Benjamin,"['https://www.wikiart.org/en/karl-benjamin/untitled-1955', 'https://www.wikiart.org/en/karl-benjamin/untitled-1956', 'https://www.wikiart.org/en/karl-benjamin/untitled-1958']",,,,check,[],[]
50229,Kaggle_92931,Suikoden Series,Utagawa Kuniyoshi,"['https://www.wikiart.org/en/utagawa-kuniyoshi/suikoden-series', 'https://www.wikiart.org/en/utagawa-kuniyoshi/suikoden-series-1', 'https://www.wikiart.org/en/utagawa-kuniyoshi/suikoden-series-2']",,,,check,[],[]
50237,Kaggle_88541,Mount's Bay,Alfred Wallis,"['https://www.wikiart.org/en/alfred-wallis/mount-s-bay', 'https://www.wikiart.org/en/alfred-wallis/mount-s-bay-1', 'https://www.wikiart.org/en/alfred-wallis/mount-s-bay-2', 'https://www.wikiart.org/en/alfred-wallis/mount-s-bay-3']",,,,check,[],[]
50250,Kaggle_66621,Self-Portrait,Konstantin Somov,"['https://www.wikiart.org/en/konstantin-somov/self-portrait', 'https://www.wikiart.org/en/konstantin-somov/self-portrait-1', 'https://www.wikiart.org/en/konstantin-somov/self-portrait-2', 'https://www.wikiart.org/en/konstantin-somov/self-portrait-1921', 'https://www.wikiart.org/en/konstantin-somov/self-portrait-3']",,,,check,"['https://www.wikiart.org/en/konstantin-somov/self-portrait', 'https://www.wikiart.org/en/konstantin-somov/self-portrait-2', 'https://www.wikiart.org/en/konstantin-somov/self-portrait-1921']","['https://uploads1.wikiart.org/images/konstantin-somov/self-portrait.jpg!Large.jpg', 'https://uploads3.wikiart.org/images/konstantin-somov/self-portrait-2.jpg!Large.jpg', 'https://uploads6.wikiart.org/images/konstantin-somov/self-portrait-1921.jpg!Large.jpg']"
50257,Kaggle_22380,sem titulo,Sa Nogueira,"['https://www.wikiart.org/en/sa-nogueira/sem-titulo-1961', 'https://www.wikiart.org/en/sa-nogueira/sem-titulo-1992', 'https://www.wikiart.org/en/sa-nogueira/sem-titulo']",,,,check,[],[]
50280,Kaggle_34051,Ferns,Ivan Shishkin,"['https://www.wikiart.org/en/ivan-shishkin/ferns-1886', 'https://www.wikiart.org/en/ivan-shishkin/ferns']",,,,check,[],[]
50289,Kaggle_810,Stary Krym,Konstantin Bogaevsky,"['https://www.wikiart.org/en/konstantin-bogaevsky/stary-krym-1902', 'https://www.wikiart.org/en/konstantin-bogaevsky/stary-krym-1903']",,,,check,[],[]
50345,Kaggle_12433,Near Antibes,Eugene Boudin,"['https://www.wikiart.org/en/eugene-boudin/near-antibes-1893', 'https://www.wikiart.org/en/eugene-boudin/near-antibes-1893-1']",,,,check,"['https://www.wikiart.org/en/eugene-boudin/near-antibes-1893', 'https://www.wikiart.org/en/eugene-boudin/near-antibes-1893-1']","['https://uploads2.wikiart.org/images/eugene-boudin/near-antibes-1893.jpg!Large.jpg', 'https://uploads4.wikiart.org/images/eugene-boudin/near-antibes-1893-1.jpg!Large.jpg']"
